5 2
chest 4
7 67 0
59 14 0
67 58 0
74 24 0
mine 25
17 60 0
11 53 0
15 53 0
14 57 0
17 60 0
22 62 0
24 66 0
27 69 0
32 70 0
23 31 0
24 30 0
17 40 0
17 42 0
22 40 0
22 42 0
27 46 0
25 51 0
28 54 0
30 50 0
33 53 0
36 49 0
38 53 0
38 31 0
40 30 0
41 30 0
barricade 8
25 87 0
68 89 0
52 46 0
85 17 0
25 28 0
22 31 0
47 53 0
21 52 0
shark 7
1 67 0
15 77 0
22 82 0
14 80 0
26 28 0
27 23 0
75 17 0
jellyfish 25
14 85 0
15 72 0
17 19 0
13 20 0
8 22 0
15 24 0
11 26 0
7 27 0
9 31 0
55 6 2
57 6 2
59 6 2
61 6 2
63 6 2
55 12 2
57 12 2
59 12 2
61 12 2
63 12 2
71 47 0
65 52 0
74 55 0
54 33 0
52 39 0
58 36 0
drone 5
90 31 0
96 49 0
95 12 0
19 52 0
39 19 0
octopus 26
41 71 0
43 68 0
45 68 0
46 72 0
49 67 0
48 70 0
51 70 0
53 68 0
58 68 0
55 70 0
56 68 0
64 66 0
65 71 0
67 68 0
68 69 0
69 70 0
70 71 0
72 73 0
73 74 0
74 75 0
75 76 0
78 70 0
82 70 0
80 72 0
82 72 0
95 71 0
current 128
48 67 3
49 67 3
48 68 0
48 69 0
49 69 1
48 73 2
49 73 2
51 68 2
52 68 2
53 68 2
51 70 1
51 73 3
52 70 3
53 70 3
53 71 0
64 66 2
65 66 2
64 67 1
65 70 3
65 70 0
64 71 3
65 71 3
65 72 1
64 75 2
64 75 0
64 76 2
65 76 2
68 68 2
69 69 2
70 70 2
71 71 2
72 71 2
67 66 3
68 66 3
69 66 3
70 66 3
71 66 3
72 66 1
72 67 1
72 68 1
72 69 1
72 70 1
67 68 0
68 69 0
69 70 0
70 71 0
78 70 2
80 70 2
82 70 2
77 70 2
79 70 2
81 70 2
76 72 3
77 72 3
78 72 3
79 72 3
80 72 3
81 72 3
76 70 1
76 71 1
82 72 0
82 71 0
81 21 1
82 21 1
83 21 1
81 22 1
82 22 1
83 22 1
54 7 3
55 6 3
56 6 3
57 6 3
58 6 3
59 6 3
60 6 3
61 6 3
62 6 3
63 7 3
55 12 2
56 13 2
57 13 2
58 13 2
59 13 2
60 13 2
61 13 2
62 13 2
63 13 2
64 12 2
63 6 1
64 7 1
64 8 1
64 9 1
64 10 1
64 11 1
63 12 1
55 7 0
54 8 0
54 9 0
54 10 0
54 11 0
54 12 0
55 13 0
47 53 2
47 54 2
48 53 2
48 54 2
16 41 2
16 40 2
17 40 2
18 40 2
19 40 2
20 40 2
21 40 2
22 40 2
23 40 2
16 42 3
17 42 3
18 42 3
19 42 3
20 42 3
21 42 3
22 42 3
23 42 3
23 41 3
16 40 1
16 41 1
23 41 0
23 42 0
lifebonus 5
96 75 0
3 68 0
94 2 0
61 70 0
43 42 0
speedbonus 3
17 11 0
60 80 0
97 24 0
qfBonus 3
14 37 0
33 85 0
85 46 0
